1	Cheddar & Jalapeo Corn Sticks	NoDescription	Preheat oven to 425F. Heat pans in middle of oven 10 minutes.@newline@Whisk together cornmeal, sugar, baking soda, and salt in a large bowl. Whisk together buttermilk and egg in another bowl and add cornmeal mixture with Cheddar, scallion, jalapeos, and 2 tablespoons butter, stirring, until just combined.@newline@Remove pans from oven and divide remaining 2 tablespoons butter among corn stick molds. Quickly divide batter among molds (about 3 tablespoons each) and bake until a tester comes out clean and tops are golden, 12 to 15 minutes.	5
2	Butternut Squash Chowder with Pears and Ginger	This autumnal dish is especially appropriate and welcome as the first course on a cool fall evening. The subtle sweetness of the squash is enhanced by the flavors of the pears, orange, and ginger, making it a great addition also to the Thanksgiving Table.	Place the pears in a bowl with the lemon juice, cover with water, and set aside.@newline@In a large saucepan, heat the olive oil over high heat until lightly smoking. Add the onion, celery, and carrot, and saut for 2 to 3 minutes, or until the onion is translucent. Add the garlic and ginger and saut for 1 minute longer, stirring constantly. Add the white wine and reduce the liquid until the pan is almost dry, about 3 minutes.@newline@Drain half of the pears, reserving the other half in the lemon water for garnish. Add the drained pears to the pan with the squash, potato, and stock and bring to a boil. Reduce the heat to a simmer and cook for 30 minutes, or until the squash is tender. Transfer half of the soup in batches to a blender and puree until smooth. Strain through a fine-mesh sieve back into the saucepan with the unpureed mixture. Add the orange juice, lemon juice, cream, salt, and the reserved pears and gently warm the chowder through (do not boil). The chowder can be made 1 day ahead.	4
3	Sheboygan-Style Beer-Soaked "Brats"	NoDescription	In a large deep heavy skillet stir together beer, mustard, and ketchup.@newline@Cut 1 onion into thick slices and add to beer mixture.@newline@Bring beer mixture to a boil and in it simmer bratwursts, uncovered, turning occasionally, 20 minutes.@newline@Prepare gill.@newline@Remove bratwursts from beer mixture, discarding beer mixture. Cut remaining 3 onions into thick slices, keeping slices intact.@newline@Grill bratwursts with onion slices on an oiled rack set 5 to 6 inches over glowing coals, turning onions once, until bratwursts are cooked through and golden brown and onions are cooked through, about 5 minutes.@newline@Put a pair of "brats," cut in half lengthwise and stacked, on each roll.@newline@Top brats with grilled onion, pickles, and mustard.	12
4	Honey-Glazed Carrots and Shallots	Active time: 25 min Start to finish: 1 1/4 hr	Spread carrots and shallots evenly in a 12-inch heavy skillet, then dot with butter and sprinkle with salt. Whisk together water, broth, Port, and honey and pour over vegetables. Cover skillet with a lid (or tightly with foil) and simmer over moderate heat until vegetables are tender when pierced with a paring knife, about 20 minutes.@newline@Transfer vegetables with a slotted spoon to a bowl and boil liquid over moderately high heat, uncovered, until syrupy and reduced to about 3 tablespoons, about 15 minutes. Return vegetables to skillet and gently stir to coat with glaze. Sprinkle with dill and chives (if using) and pepper.	6
5	Baked Ham with Mustard-Red Currant Glaze and Rhubarb Chutney	What to drink: Fruity, soft red wines  such as Merlot and some Zinfandels  work well with the mustard glaze and ham.	Position rack in bottom third of oven and preheat to 325F. Whisk jelly, mustard, and ginger in heavy medium saucepan over medium heat until melted, about 1 minute. Remove glaze from heat.@newline@Trim any tough rind and fat from upper side of ham, leaving 1/4-inch-thick layer of fat. Using long sharp knife, score fat in 1-inch-wide diamond pattern. Place ham in roasting pan. Bake 1 hour. Brush top and sides of ham generously with some of glaze. Bake until thermometer inserted into thickest part of ham registers 140F, brushing with glaze every 15 minutes and tenting ham with foil if browning too quickly, about 1 hour 15 minutes. Remove ham from oven; let stand 15 minutes. Transfer to platter. Garnish with watercress. Serve with Rhubarb Chutney.	1
6	Strawberry Icebox Pie with Almond Crust	An easy press-in crust of ground graham crackers and toasted almonds is topped with a fresh strawberry filling and whipped cream. Chill the pie at least two hours before serving.	For crust: Position rack in center of oven; preheat to 350F. Butter 9-inch-diameter glass pie dish. Coarsely chop almonds in processor. Add graham cracker crumbs and sugar; process until finely ground. Add butter; process until evenly moistened. Press crumb mixture onto bottom and up sides of prepared pie dish.@newline@Bake crust until set, about 12 minutes. Cool completely on rack.	5
7	Peanut Butter Cupcakes	NoDescription	Make cupcakes: Preheat oven to 350F.@newline@Whisk together flour, baking powder, and salt in a bowl.@newline@Beat together peanut butter, butter, and brown sugar in a large bowl with an electric mixer at medium speed until blended, about 2 minutes. Add egg and vanilla and beat until fluffy, about 1 minute. Reduce speed to low and add flour mixture and milk alternately in batches, beginning and ending with flour mixture, then mix until just combined.@newline@Divide batter among lined muffin cups (about two-thirds full) and bake in middle of oven until pale golden and a tester inserted in center of a cupcake comes out clean, 18 to 20 minutes. Turn cupcakes out onto a rack and cool completely.	7
8	Chocolate Brownie Torte with White Chocolate Mousse and Caramelized Bananas	Begin making this one day before serving.	For brownie: Preheat oven to 350F. Spray 9-inch-diameter springform pan with 2 3/4-inch-high sides with nonstick spray. Dust pan with flour. Stir butter and both chocolates in heavy small saucepan over low heat until melted and smooth. Cool to room temperature.@newline@Using electric mixer, beat eggs and sugar in large bowl until thick, about 5 minutes. Beat in vanilla. Stir in chocolate mixture. Sift flour over and fold in. Transfer batter to prepared pan. Bake until tester inserted into center of brownie comes out with dry crumbs attached, about 18 minutes. Cool completely in pan on rack.	12
9	Roast Wild Turkey with Blue Cornbread-Shrimp Stuffing	NoDescription	Preheat oven to 350F.@newline@To make the stuffing, heat the vegetable oil in a skillet and saut the shrimp over medium heat until cooked through, about 1 minute. Let cool, dice, and set aside.@newline@In a large skillet, melt the butter and saut the onions, celery, carrot, serranos, garlic and chayote over high heat for 2 to 3 minutes. Deglaze the vegetables with the bourbon and continue cooking over high heat for 1 minute or until the liquid evaporates. Remove the skillet from the heat and add the thyme, sage, cilantro, shrimp, and crumbled blue corn sticks. Moisten with the stock and season with salt. Stir to combine.@newline@Wash the turkey well and season the cavity with salt and pepper. Stuff the turkey and truss with a needle and string. Rub the turkey generously with the softened butter and season the outside of the turkey with more salt and pepper.@newline@Place the turkey on a rack in a roasting pan, cover tightly with foil, and roast in the oven for 2 1/2 to 3 1/2 hours. Baste well with butter periodically Remove the foil in the last hour of cooking to allow the turkey to brown. When done, transfer the turkey to a platter and let it rest for 10 to 15 minutes before carving. Remove the string and serve the turkey with the stuffing and a gravy made from the giblets.	6
10	New Potatoes with Black Peppercorn Butter	NoDescription	Combine broth and peppercorns in small saucepan. Cover and simmer 30 minutes. Uncover and simmer until mixture is reduced to 1/4 cup, about 15 minutes. Add brandy; simmer until mixture is reduced to 3 tablespoons, about 10 minutes. Cool. Blend peppercorn mixture, butter, lemon juice, shallot and thyme in processor until peppercorns are finely chopped. (Can be made 2 days ahead. Chill. Use at room temperature.)@newline@Cook potatoes in pot of boiling salted water until tender, about 25 minutes. Drain. Quarter potatoes. Place in large bowl. Add onions and 1/4 cup peppercorn butter (reserve remaining peppercorn butter for another use); toss gently. Season to taste with salt.	5
