Cheddar & Jalapeo Corn Sticks		1 cup yellow cornmeal^1 teaspoon sugar^1/2 teaspoon baking soda^1/2 teaspoon salt^1 cup well-shaken buttermilk^1 large egg^4 ounces coarsely grated extra-sharp Cheddar (1 cup)^1/4 cup finely chopped scallion (white and pale green parts only)^1 to 2 tablespoons finely chopped drained pickled jalapeos^1/2 stick (4 tablespoons) unsalted butter, melted^Special equipment: 2 well-seasoned cast-iron corn stick pans, each with 7 (5- by 1 1/2-inch) molds or a well-seasoned 9-inch cast-iron skillet	Preheat oven to 425F. Heat pans in middle of oven 10 minutes.@newline@Whisk together cornmeal, sugar, baking soda, and salt in a large bowl. Whisk together buttermilk and egg in another bowl and add cornmeal mixture with Cheddar, scallion, jalapeos, and 2 tablespoons butter, stirring, until just combined.@newline@Remove pans from oven and divide remaining 2 tablespoons butter among corn stick molds. Quickly divide batter among molds (about 3 tablespoons each) and bake until a tester comes out clean and tops are golden, 12 to 15 minutes.@newline@	Mexican^Appetizer^Cheddar^Cornmeal^Jalapeo^Gourmet^Sugar Conscious^Kidney Friendly
Butternut Squash Chowder with Pears and Ginger	This autumnal dish is especially appropriate and welcome as the first course on a cool fall evening. The subtle sweetness of the squash is enhanced by the flavors of the pears, orange, and ginger, making it a great addition also to the Thanksgiving Table.	2 Anjou or Bosc pears, peeled, cored, and diced^Juice of 2 lemons^2 tablespoons olive oil^1 cup peeled and diced Vidalia or Spanish onion^1 stalk celery, diced^1 small carrot, peeled and diced^1 tablespoon minced garlic^1 teaspoon peeled minced fresh ginger^1/2 cup dry white wine^2 small butternut squash, peeled, seeded, and diced (about 3 cups)^1 baking potato (about 12 ounces), peeled and diced^5 cups Vegetable Stock or store-bought^1/4 cup freshly squeezed orange juice^1 tablespoon freshly squeezed lemon juice^1/2 cup heavy cream^Salt to taste	Place the pears in a bowl with the lemon juice, cover with water, and set aside.@newline@In a large saucepan, heat the olive oil over high heat until lightly smoking. Add the onion, celery, and carrot, and saut for 2 to 3 minutes, or until the onion is translucent. Add the garlic and ginger and saut for 1 minute longer, stirring constantly. Add the white wine and reduce the liquid until the pan is almost dry, about 3 minutes.@newline@Drain half of the pears, reserving the other half in the lemon water for garnish. Add the drained pears to the pan with the squash, potato, and stock and bring to a boil. Reduce the heat to a simmer and cook for 30 minutes, or until the squash is tender. Transfer half of the soup in batches to a blender and puree until smooth. Strain through a fine-mesh sieve back into the saucepan with the unpureed mixture. Add the orange juice, lemon juice, cream, salt, and the reserved pears and gently warm the chowder through (do not boil). The chowder can be made 1 day ahead.@newline@	Soup/Stew^Citrus^Ginger^Onion^Appetizer^Thanksgiving^Vegetarian^Pear^Butternut Squash^Fall^Pescatarian^Wheat/Gluten-Free^Peanut Free^Tree Nut Free^Soy Free^Kosher
Gingerbread Cookies and Citrus Sugar Cookies	Each recipe makes about three dozen cookies, depending on the size of the cookie cutters used. The gingerbread cookies are crisp and lightly spiced, while the sugar cookies have lively lemon and tangerine flavors. Both are perfect for a variety of imaginative decorations.	2 3/4 cups unbleached all purpose flour^1 teaspoon ground ginger^3/4 teaspoon baking soda^1/2 teaspoon ground cinnamon^1/2 teaspoon ground cloves^1/4 cup solid vegetable shortening, room temperature^1/4 cup (1/2 stick) unsalted butter, room temperature^1/2 cup sugar^1/2 cup unsulfured (light) molasses^1 large egg^2 cups unbleached all purpose flour^1 1/2 teaspoons baking powder^1/4 teaspoon salt^3/4 cup (1 1/2 sticks) unsalted butter, room temperature^1 1/4 teaspoons grated lemon peel^1 1/4 grated tangerine peel or orange peel^1/2 cup sugar^1/4 cup powdered sugar^1 large egg	Sift flour, ginger, baking soda, cinnamon and cloves into medium bowl. Using electric mixer, beat shortening and butter in large bowl into light. Add sugar and beat until fluffy. Beat in molasses, then egg. Add dry ingredients. Using spoon, stir until mixture forms dough (dough will be very soft). Divide dough into thirds. Gather each third into ball; flatten into disks. Wrap each disk in plastic and refrigerate until firm, about 4 hours. (Can be prepared 2 days ahead. Keep refrigerated.)@newline@Sift flour, baking powder and salt into medium bowl. Using electric mixer, beat butter, lemon peel and tangerine peel in large bowl until light. Add 1/2 cup sugar and 1/4 cup powdered sugar and beat until fluffy. Beat in egg. Add dry ingredients. Using spoon, stir until mixture forms dough (dough will be soft). Divide dough into thirds. Gather each third into ball; flatten into disks. Wrap each disk in plastic and refrigerate until firm, about 4 hours. (Can be prepared 2 days ahead. Keep refrigerated. Let soften slightly, if necessary, before rolling out.)@newline@	Cookie^Citrus^Ginger^Dessert^Bake^Christmas^Kid-Friendly^Winter^Bon Apptit
Flourless Chocolate-Orange Almond Cake		Pareve kosher-for-Passover margarine, melted^1 1/4 cups whole almonds (6 to 7 ounces)^1 cup sugar, divided^6 ounces bittersweet (not unsweetened) or semisweet chocolate, coarsely chopped^1/2 cup unsweetened cocoa powder^1/2 cup orange juice^2 teaspoons grated orange peel^6 large eggs, separated^1 vanilla bean, split lengthwise^1/4 teaspoon salt^Chocolate-Orange Sorbet	Preheat oven to 350F. Brush bottom of 10-inch-diameter springform pan generously with margarine. Blend almonds and 1/4 cup sugar in processor until almonds are finely ground. Add chocolate; blend until chocolate is finely ground, scraping sides and bottom of bowl occasionally.@newline@Whisk cocoa, orange juice, and orange peel in small bowl until smooth. Combine egg yolks and 1/2 cup plus 2 tablespoons sugar in large bowl. Scrape in seeds from vanilla bean. Using electric mixer, beat until yolk mixture is very thick, about 4 minutes. Beat in cocoa mixture. Fold in ground-almond mixture. Using clean dry beaters, beat egg whites and salt in another large bowl until soft peaks form. Gradually add 2 tablespoons sugar, beating until whites are stiff but not dry. Fold whites into chocolate batter in 3 additions. Transfer to prepared pan.@newline@Bake cake until tester inserted into center comes out clean, about 40 minutes. Cool cake completely in pan on rack. (Can be made 1 day ahead. Cover with foil; store at room temperature.)@newline@	Jewish^Cake^Chocolate^Egg^Dessert^Bake^Passover^Orange^Almond^Vanilla^Kosher^Bon Apptit^Vegetarian^Pescatarian^Wheat/Gluten-Free^Peanut Free^Soy Free
Crab Cakes with Spicy Avocado Sauce	Japanese bread crumbs, called ppankop , give these cakes a light, crisp coating. pPankop is sold at Asian markets and can often be found in the seafood section of large supermarkets. But if it's unavailable, plain dry bread crumbs are an acceptable substitute.	1/2 ripe medium California avocado, pitted and peeled^1 tablespoon low-fat mayonnaise^1 tablespoon fresh lime juice^1/4 teaspoon salt^1/4 teaspoon sugar^1 fresh jalapeo or serrano chile (including seeds), stemmed and quartered lengthwise^1/4 cup fat-free (skim) milk^1 pound jumbo lump crabmeat, picked over and coarsely shredded^3 tablespoons low-fat mayonnaise^1/4 cup minced fresh chives^1 tablespoon fresh lemon juice^1 teaspoon Dijon mustard^1/4 teaspoon black pepper^1/2 cup panko (Japanese bread crumbs)^1 tablespoon unsalted butter^2 garlic cloves, smashed^1/2 teaspoon herbes de Provence or 1/4 teaspoon dried thyme^1/4 teaspoon salt	Put oven rack in middle position and preheat oven to 400F. Line a baking sheet with foil.@newline@	American^Food Processor^Shellfish^Bake^Low Fat^Crab^Avocado^Healthy^Chive^Jalapeo^Gourmet
Sauteed Peas and Small Potatoes	This recipe can be prepared in 45 minutes or less.	2 pounds small boiling potatoes (preferably red)^3/4 pound fresh peas in pods or 1 cup frozen baby peas^1/2 pound sugar snap peas^1 1/2 tablespoons olive oil	In a 4-quart saucepan cover potatoes with salted cold water by 1 inch and simmer 10 minutes, or until potatoes are tender when pierced with a sharp knife. Drain potatoes in a colander. Potatoes may be cooked 1 day ahead and cooled before being chilled in a sealable plastic bag. Bring potatoes to room temperature before proceeding.@newline@Shell peas if using fresh and trim sugar snap peas. In a large skillet heat oil over moderately high heat until hot but not smoking and saut all vegetables, stirring frequently, until sugar snaps are crisp-tender and potatoes are heated through, about 4 minutes. Season vegetables with salt and pepper.@newline@	Bean^Potato^Side^Saut^Quick & Easy^Summer^Gourmet^Vegan^Vegetarian^Pescatarian^Dairy Free^Wheat/Gluten-Free^Peanut Free^Tree Nut Free^Soy Free^No Sugar Added^Kosher
Pumpkin Pie with Spiced Whipped Cream	Tina Thompson of Orlando, Florida, writes: "Food and nostalgia are closely related in my mind. When I miss my dad, I make an extra-buttery grilled-cheese sandwich just the way he would every Saturday for lunch. When I miss my college roommate Jenny, I splurge on a new ethnic food to remind me of adventures during our junior year abroad in London. Inspired by my great food experiences there, I attended a small cooking school stateside so that I could come up with some fantastic meals of my own."	1 frozen 9-inch deep-dish pie crust, thawed, pierced all over with fork^1 15-ounce can pure pumpkin^1 14-ounce can sweetened condensed milk^1/4 cup sour cream^2 teaspoons ground cinnamon^3/4 teaspoon ground ginger^1/2 teaspoon vanilla extract^1/4 teaspoon ground allspice^2 large eggs^3/4 cup chilled whipping cream^2 tablespoons sugar	Preheat oven to 400F. Reshape crust edge to form high-standing rim. Bake crust until browned, pressing bottom and sides of crust occasionally with back of fork, about 14 minutes. Cool crust on rack. Reduce oven temperature to 350F.@newline@Whisk pumpkin, condensed milk, sour cream, 1 1/2 teaspoons cinnamon, 1/2 teaspoon ginger, vanilla, and allspice in large bowl to blend. Whisk in eggs. Pour into crust (some filling may be left over).@newline@Bake pie until filling is puffed around sides and set in center, about 55 minutes. Cool pie on rack. (Can be made ahead. Let stand at room temperature 2 hours, or cover and chill overnight.)@newline@Beat whipping cream, sugar, 1/2 teaspoon cinnamon, and 1/4 teaspoon ginger in bowl until peaks form. Spoon large dollops around edge of pie and serve.@newline@	American^Milk/Cream^Vegetable^Dessert^Bake^Thanksgiving^Spice^Pumpkin^Fall^Bon Apptit^Vegetarian^Pescatarian^Peanut Free^Tree Nut Free^Soy Free^Kosher
Orange Yogurt Parfaits with Shredded Wheat Crisps		3 cups low-fat plain yogurt^1 1/2 large shredded wheat biscuits, coarsely crumbled^1 1/2 tablespoons unsalted butter, melted^2 teaspoons sugar^1/2 cup water^1/4 cup honey^6 (3- by 1/2-inch) strips orange zest^1/4 cup strained fresh orange juice^1/3 cup chilled heavy cream	Drain yogurt in a paper-towel-lined large sieve set over a bowl, covered and chilled, 24 hours. Discard any liquid in bowl.@newline@Preheat oven to 350F.@newline@Toss shredded wheat with butter and sugar in a bowl, then spread evenly on a baking sheet and bake in middle of oven until deep golden, about 12 minutes. Cool completely.@newline@Simmer water, honey, zest, and orange juice in a small saucepan, uncovered, until reduced to about 1/2 cup, 8 to 10 minutes. Remove from heat and let steep, covered, 10 minutes. Cool syrup, then pour through a sieve into a small bowl, reserving zest.@newline@Finely chop half of zest and stir into yogurt in a bowl along with 4 tablespoons syrup. Thinly slice remaining zest for garnish.@newline@Beat cream in a small deep bowl with a whisk or an electric mixer until it just holds stiff peaks, then fold into yogurt. Divide yogurt among 6 small dessert dishes, then drizzle remaining syrup over it and top with wheat crisps and sliced zest.@newline@	Dairy^Dessert^Bake^Low Fat^Yogurt^Orange^Spring^Healthy^Gourmet^Vegetarian^Pescatarian^Peanut Free^Tree Nut Free^Soy Free^Kosher
Wild Mushrooms with Chestnuts and Thyme	This rich side dish could easily stand on its own as an elegant meatless main course.	6 tablespoons (3/4 stick) butter^8 large shallots, sliced (about 2 cups)^6 garlic cloves, minced^2 pounds assorted fresh wild mushrooms (such as stemmed shiitake, crimini, and oyster), sliced^2 tablespoons chopped fresh thyme^3/4 cup Madeira^1 7.25-ounce jar roasted peeled whole chestnuts, halved (about 1 1/2 cups)^3/4 cup whipping cream^Chopped fresh chives	Melt 3 tablespoons butter in large deep nonstick skillet over medium-high heat. Add shallots and saut until tender and golden, about 6 minutes. Add garlic and stir 30 seconds. Add remaining 3 tablespoons butter and stir until melted. Add mushrooms; sprinkle with salt and pepper. Saut until tender and brown, about 10 minutes. Add thyme and stir 1 minute. Add Madeira and simmer until almost evaporated, about 1 minute. Add chestnuts and whipping cream and simmer until cream thickens and coats mushroom mixture, about 1 minute. Season generously with salt and pepper. Transfer to bowl; sprinkle with chives.@newline@	American^Herb^Mushroom^Nut^Side^Saut^Thanksgiving^Fall^Chestnut^Bon Apptit^Vegetarian^Pescatarian^Wheat/Gluten-Free^Peanut Free^Soy Free^Kosher
Perfectly Poached Shrimp with Green Goddess Sauce		1 large garlic clove^2 cups mayonnaise^1 cup (packed) chopped fresh parsley^1/4 cup chopped fresh chives^1/4 cup chopped green onions (white and pale green parts only)^3 tablespoons chopped fresh tarragon^8 canned anchovy fillets^1 tablespoon rice vinegar^3/4 cup coarse kosher salt^4 pounds uncooked unpeeled jumbo shrimp (about 75)	For sauce: Finely chop garlic in food processor. Add all remaining ingredients; blend until smooth and pale green. Season sauce to taste with salt and pepper. Transfer sauce to serving bowl. Cover and refrigerate until cold. (Can be prepared 2 days ahead. Keep refrigerated.)@newline@	American^Food Processor^Shellfish^Poach^Cocktail Party^Buffet^Mayonnaise^Shrimp^Summer^Tarragon^Chive^Parsley^Bon Apptit
